origin,age,colour,sex,import_type,season_stakes,total_stakes,no_of_123_starts,no_of_starts_in_past_races,trainer,owner,current_rating,start_of_season_rating,sire,dam,dam_sire
AUS ,6,Bay , Gelding,PP,"$1,117,500 ","$2,587,400 ",2-1-3-14,0,T P Yung,"Stanley Mah Jun, Chen Bao Lin, Clarence Chiu Chi Shun & Frankie Fang Yuan",77,72,Danerich,Appointment,Keltrice
AUS ,5,Bay , Gelding,PP,"$1,327,500 ","$2,487,500 ",2-1-2-13,2,A S Cruz,Chloe Liang Shun Yin,76,76,Fastnet Rock,Miss Concorde,Encosta de Lago
NZ ,6,Bay , Gelding,PPG,"$542,500 ","$3,733,350 ",2-6-1-20,1,T P Yung,Paul P Chow,76,76,Tavistock,Jugadora,Jugah
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,A T Millard,"Mr & Mrs Leung Lun, Paul Leung Yuk Hung and Kenneth Leung Yuk Wai",76,76,Zoffany,Starship,Galileo
AUS ,5,Bay , Gelding,PPG,"$997,500 ","$4,056,650 ",3-5-0-24,0,C S Shum,Craigengower Cricket Club Racing Syndicate,75,69,Your Song,Little Less Lip,Blevic
AUS ,4,Bay , Gelding,PP,"$90,000 ","$90,000 ",0-0-0-5,0,P F Yiu,Ho Yin Sang & Cheung Kwok Ping,72,80,Time For War,Shadow Grande,Dane Shadow
USA ,4,Grey , Gelding,PPG,"$1,185,000 ","$2,536,500 ",3-2-2-12,2,K W Lui,Chancheng Racing Syndicate,71,65,Carpe Diem,Bliss,Flashy Bull
FR ,5,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,0,P O'Sullivan,Playful Friends Syndicate,71,73,So You Think,Spring Morning,Ashkalani
SAF ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-1,1,D E Ferraris,Sustainable Winning Syndicate,70,70,Captain Al,Justthewayyouare,Fort Wood
NZ ,5,Brown , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P O'Sullivan,Derby Pal Syndicate,70,70,Niagara,La Campanella,More Than Ready
AUS ,5,Bay , Gelding,PPG,"$172,500 ","$4,268,600 ",4-0-6-30,2,Y S Tsui,Lai Ni Jan & Benvinda Lai,70,80,Denman,Future Choice,Redoute's Choice
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,R Gibson,Charmian Liang Shun Ming,68,68,Zoffany,Musidora,Rock Of Gibraltar
AUS ,5,Bay , Gelding,PPG,"$352,500 ","$1,905,800 ",2-1-1-10,1,P O'Sullivan,A Wonderful World Syndicate,67,71,Hinchinbrook,Mallard,Falkirk
IRE ,7,Chestnut , Gelding,PP,"$2,250,000 ","$3,995,385 ",4-5-1-36,2,P O'Sullivan,R&S Racing Syndicate,66,51,Casamento,Glyndebourne,Rahy
NZ ,4,Chestnut , Gelding,PPG,"$1,615,000 ","$1,615,000 ",2-2-0-7,1,C S Shum,Chan Wo Ping & Ng Wing Shuen,66,52,Per Incanto,Kalamanda,Singspiel
NZ ,4,Bay , Gelding,PPG,"$1,035,000 ","$2,122,875 ",2-2-1-10,1,F C Lor,Chevalier Syndicate,66,61,Rock 'N' Pop,Zoe Spice,O'Reilly
AUS ,4,Bay , Gelding,PPG,"$1,125,000 ","$2,483,605 ",3-0-1-15,2,K L Man,Friends of Po Leung Syndicate,66,65,Supreme Class,Your Grace,Testa Rossa
AUS ,3,Bay , Gelding,PPG,"$1,597,500 ","$1,597,500 ",2-0-1-3,1,D J Whyte,"Winston Wong Ching Wah, Bobby Fong Kwok Wah, Raymond Tse Kwai Cheong & Yu Yik Choy",62,52,Outreach,Brooklyn Rain,Manhattan Rain
AUS ,4,Bay , Gelding,PPG,"$1,465,000 ","$1,465,000 ",1-3-1-8,2,K W Lui,Tom Brown's Syndicate,62,52,Smart Missile,Saint Minerva,Galileo
AUS ,3,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-7,2,A S Cruz,Cheung Kwong Kwan & Cheung Kwok Wa,62,75,Deep Field,Flamboyant Lass,Stratum
AUS ,5,Bay , Gelding,PP,"$1,175,000 ","$2,079,750 ",2-3-0-21,0,D J Hall,Shirley Tsang Huang Yang,62,59,Testa Rossa,Makaha,Seasoned Star
FR ,6,Bay , Gelding,PP,$0 ,"$1,715,150 ",1-2-2-19,0,W Y So,Leslie Tang Wai Yip & Tang Chang Li Fang,60,60,Siyouni,Storma,Starborough
NZ ,6,Bay , Gelding,PPG,"$570,000 ","$5,194,000 ",7-1-5-39,1,C S Shum,"Clement Hui Ying Bun, Hui Yau Wing, Lau Sei Keung & Karen Lau Ka Yan",60,65,Ocean Park,Spiriting,Montjeu
NZ ,4,Brown , Gelding,PPG,"$1,420,000 ","$1,971,190 ",2-2-2-19,2,P F Yiu,Syed Pervez Hussain,60,51,Ferlax,Outrageous Fortune,Volksraad
NZ ,4,Bay , Gelding,PPG,"$730,000 ","$1,339,210 ",2-0-0-10,2,D J Hall,Tam Man Wai & Wilson Tam Man Shu,59,55,Rios,A Tad Black,Istidaad
NZ ,5,Brown , Gelding,PP,"$452,500 ","$706,250 ",0-1-2-17,1,K L Man,CMA Syndicate,58,63,Swiss Ace,Primadonna Girl,Edenwold
AUS ,5,Bay , Gelding,PPG,"$205,000 ","$2,119,360 ",1-2-6-19,1,P F Yiu,Fortune Stallion Syndicate,58,65,Helmet,Boracay,Red Ransom
GB ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-6,1,D E Ferraris,Martin Siu Kim Sun,56,60,Bated Breath,Bounty Box,Bahamian Bounty
NZ ,5,Bay , Gelding,PP,"$112,500 ","$112,500 ",0-0-0-8,1,D A Hayes,HK Cricket Club Syndicate,55,69,Pins,Misspro O'Reilly,O'Reilly
AUS ,3,Brown , Gelding,PPG,"$220,000 ","$220,000 ",0-1-0-2,1,W Y So,Kelvin Lau Sik Suen & Joe Fong Fu Yuen,54,52,Starspangledbanner,Porcellanus,High Chaparral
NZ ,7,Bay , Gelding,PPG,"$1,248,750 ","$3,534,975 ",2-10-4-33,1,T P Yung,"Gary Hung Hing Ming, Stephen Lok Tsz Ho & Joseph Cheng Pok Man",53,40,Red Giant,Show Exhibit,Danehill
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-7,1,R Gibson,Cow Cow Syndicate,52,70,Cable Bay,Hear My Cry,Giant's Causeway
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,T P Yung,"Dr & Mrs Francis Siu Pui Sing, Vincent Siu Hin Wai and Jaclyn Siu Man Yeng",52,52,Helmet,Idlewild,Lonhro
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,"Wu Wei Lam, Kenneth Wu Kai Chung & Aiko Wu Lok Ting",52,52,No Nay Never,Zermatt,Shaft
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K W Lui,"Ho Sai Chu, Wu Kwok Cheung & Gary Wu Tsz Kei",52,52,Poet's Voice,Silent Harmony,Zenno Rob Roy
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Chinese Recreation Club Syndicate,52,52,Tavistock,Nightingale Island,Viking Ruler
GB ,4,Bay , Gelding,ISG,$0 ,$0 ,0-0-0-0,0,D J Hall,Winning Smiles Syndicate,52,52,Zoffany,Bahia Breeze,Mister Baileys
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C W Chang,Keith Ng Ting Kit,52,52,Jimmy Choux,Bankside Belle,Volksraad
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,T P Yung,Charlie Lam Leung Seng,52,52,Zoustar,Muscatels,Octagonal
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Dr Edwin Lam Chi Wan,52,52,Reward For Effort,Ballymoon,O'Reilly
AUS ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,K H Ting,Rising Stars Syndicate,52,52,Dalakhani,Amalgamate,Zenno Rob Roy
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,K H Ting,Derek Chow Tong Yuk,52,52,Iffraaj,Kayleen,Towkay
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,C S Shum,Edmond So Chi Wai,52,52,Hallowed Crown,Mojave Aster,Zabeel
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,0,W Y So,Cosmo Club Syndicate,52,52,Iffraaj,The Glitzy One,Flying Spur
NZ ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Eighth Floor Syndicate,52,52,Falkirk,Chile,Volksraad
AUS ,5,Bay , Gelding,PPG,"$35,000 ","$2,075,280 ",3-1-1-27,2,T P Yung,Great Fund Syndicate,51,57,Foxwedge,Celebrity Appeal,One Cool Cat
GER ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,C H Yip,David Chan Wai Shung,50,52,Pastorius,Best Moving,Reset
AUS ,6,Bay , Gelding,PPG,"$220,000 ","$3,817,275 ",3-3-5-35,2,D E Ferraris,Michelle Chan Kam Ha,50,61,Onemorenomore,Whatsaname,Ascot Knight
AUS ,5,Bay , Gelding,PP,"$35,000 ","$644,210 ",1-0-0-16,2,C W Chang,Raymond Hui,50,62,Hinchinbrook,Bridie Belle,Al Akbar
NZ ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,0,D A Hayes,Yeoh Saw Kheng,50,52,Makfi,Inara Belle,Elusive Quality
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-2,2,K W Lui,Royal Elitist Team Syndicate,50,52,Hinchinbrook,Shamardal Gold,Shamardal
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-2,1,K L Man,Delightful Syndicate,50,52,Kermadec,Seesawing,Easy Rocking
AUS ,5,Bay , Gelding,PPG,"$35,000 ","$2,661,200 ",3-1-0-21,0,W Y So,Abterra Syndicate,49,60,The Factor,Amazing Tale,Tale Of The Cat
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,0,D A Hayes,Wu Wei Lam,48,52,Dundeel,Starzel,Snitzel
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-3,0,P F Yiu,Henry Cheung Kun Tong,47,52,Real Saga,Flawless,Iglesia
IRE ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-4,0,J Size,Man Sau Keung,47,52,Shamardal,Shafaani,Green Desert
AUS ,8,Bay , Gelding,PP,"$1,185,000 ","$5,719,855 ",7-3-8-63,2,C H Yip,Mr & Mrs Chan Chung Yin and Mr & Mrs Clevin Got Chong Key,47,45,Hard Spun,Royal Tour,Quest For Fame
NZ ,4,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-4,2,J Size,Lau Sak Hong & Dr Daniel Lee Tin Chak,45,52,Ocean Park,Persian Dynasty,O'Reilly
NZ ,6,Bay , Gelding,PPG,"$565,000 ","$1,043,095 ",0-1-6-18,1,W Y So,David Ng Tit,45,42,Pins,Somethymesoon,Postponed
AUS ,4,Brown , Gelding,PPG,"$707,500 ","$818,705 ",1-0-2-11,1,R Gibson,"Dr Edmund Bernard Chan, Yam Tak Cheung, Dr Yu Kar Fook & Dr Lawrence Lam Ching Hung",44,52,Moshe,Lucand Star,Lonhro
IRE ,4,Chestnut , Gelding,ISG,$0 ,$0 ,0-0-0-4,0,Y S Tsui,Johnny Shih Jar Yi,44,52,Dandy Man,Park Twilight,Bertolini
AUS ,5,Chestnut , Gelding,ISG,"$567,500 ","$678,705 ",1-0-1-15,1,W Y So,Kelvin Lau Sik Suen,43,41,Testa Rossa,Song Shan,Al Maher
IRE ,6,Bay , Gelding,ISG,"$670,000 ","$2,653,895 ",3-2-5-36,2,A S Cruz,Howard Liang Yum Shing,41,45,Camelot,Kiss Me Goodbye,Raven's Pass
GB ,7,Bay , Gelding,PP,"$60,000 ","$258,950 ",0-0-1-14,2,D E Ferraris,Chapman Poon York Hung,41,57,Invincible Spirit,Loch Jipp,Belong To Me
FR ,7,Bay , Gelding,PP,"$405,000 ","$1,730,370 ",1-1-4-37,2,F C Lor,Cheerful Syndicate,41,48,Excelebration,Lausanne,Lawman
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-6,1,K H Ting,Cigar Buddies Syndicate,40,47,Written Tycoon,Sweet Home Chicago,Flying Spur
GB ,6,Grey , Gelding,ISG,"$427,500 ","$944,845 ",0-3-1-23,1,A S Cruz,"Ho Yin Sang, Cheung Kwok Ping & Cheung Kwok Keung",34,42,Holy Roman Emperor,Ysoldina,Kendor
AUS ,4,Bay , Gelding,PPG,"$525,000 ","$684,500 ",1-1-0-16,0,L Ho,Chiu Kwan Chi,33,33,Rubick,Holy Duck,Commands
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-7,0,A T Millard,Ibis Syndicate,32,44,Savabeel,Lego,O'Reilly
IRE ,5,Brown , Gelding,PP,$0 ,$0 ,0-0-0-13,1,C W Chang,Philip Liu Chun Hang,30,54,Teofilo,Becalm,Dixie Union
NZ ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-8,1,K H Ting,Jonathan Hui & Ian Justin Hui,28,51,Highly Recommended,Showusyahalo,My Halo
AUS ,4,Bay , Gelding,PPG,$0 ,"$58,020 ",0-0-0-10,0,L Ho,Chan Ngan Chi,27,39,Exceed And Excel,Secret Liaison,Artie Schiller
IRE ,3,Bay , Colt,PPG,$0 ,$0 ,0-0-0-0,0,A S Cruz,Howard Liang Yum Shing,,,Starspangledbanner,Pearlitas Passion,High Chaparral
NZ ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C S Shum,Mr & Mrs Alan Leung Wai Zen,,,Super Easy,Princess' Jewel,Iffraaj
NZ ,2,Bay , Gelding,PPG,"$51,000 ","$51,000 ",0-0-0-1,1,D J Whyte,Cheval Syndicate,,,Charm Spirit,Folies Bergere,O'Reilly
USA ,3,Bay , Colt,PPG,$0 ,$0 ,0-0-0-1,1,K W Lui,Charlie Lam Leung Seng,,,Pioneerof The Nile,Mildly Offensive,Sharp Humor
AUS ,2,Bay , Colt,PPG,"$29,750 ","$29,750 ",0-0-0-1,1,A T Millard,Glenn Chan Wai Cheung,,,No Nay Never,Delta Girl,General Nediym
AUS ,2,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-1,1,R Gibson,Catherina Yim Wai Ling,,,Star Turn,Sandcastles,Hinchinbrook
NZ ,5,Chestnut , Gelding,PPG,"$2,915,000 ","$8,912,895 ",6-5-2-20,1,P O'Sullivan,Herman Wai Ho Man,104,93,Per Incanto,Swan Lake,Green Perfume
GB ,5,Grey , Gelding,PP,$0 ,"$1,508,500 ",0-1-4-8,0,D A Hayes,Albert Hung Chao Hong,96,96,Dark Angel,She's A Worldie,Kodiac
IRE ,4,Bay , Gelding,PP,"$4,321,000 ","$5,285,250 ",3-1-0-12,1,A S Cruz,Cheng Keung Fai,95,77,Baltic King,Pepys Tillergirl,Tillerman
AUS ,5,Bay , Gelding,PPG,$0 ,"$3,078,290 ",3-3-1-9,0,C Fownes,Kwok Fu Shing,76,77,Zoustar,Permaiscuous,Danzero
NZ ,4,Brown , Gelding,PPG,"$1,357,500 ","$2,503,395 ",2-1-6-18,2,K L Man,Maria Teresa Chu,66,58,Savabeel,Maxmara,O'Reilly
NZ ,7,Bay , Gelding,PP,"$1,955,000 ","$3,803,600 ",4-2-3-37,0,C S Shum,Chan Yuk Shun,65,56,Guillotine,Dosh,Danske
AUS ,5,Bay , Gelding,PPG,"$1,800,000 ","$2,597,775 ",3-2-3-21,2,C Fownes,Peter Cheng & Jerry Cheng Chun Ho,63,48,All American,Mixed Emotions,Testa Rossa
AUS ,4,Brown , Gelding,PPG,"$1,022,500 ","$1,491,495 ",1-2-3-8,1,W Y So,Megafolks Syndicate,62,53,All Too Hard,Kamarla Rose,Nadeem
IRE ,5,Bay , Gelding,PP,"$825,000 ","$1,410,035 ",2-1-0-25,1,C S Shum,Friends of Pok Oi Syndicate,60,61,Rip Van Winkle,Shared Experience,Raven's Pass
AUS ,6,Bay , Gelding,ISG,"$565,000 ","$3,350,100 ",1-4-9-24,1,T P Yung,Mr & Mrs Jimmy Tang,59,66,Not A Single Doubt,Aringarosa,Snippets
NZ ,3,Bay , Gelding,PPG,"$570,000 ","$570,000 ",1-0-0-1,1,J Size,Dr Michael John Hurley,59,52,Sizzling,Pharonia,General Nediym
AUS ,5,Bay , Gelding,PPG,"$1,185,000 ","$2,975,603 ",3-2-4-27,2,A S Cruz,Lawrence Ma Ting Hung,59,52,Smart Missile,Mitzi,Encosta de Lago
AUS ,4,Bay , Gelding,PP,"$52,500 ","$52,500 ",0-0-0-7,2,W Y So,Wong Kwong Miu,58,70,Deep Field,Mrs Boxall,Fastnet Rock
AUS ,4,Bay , Gelding,PPG,"$1,940,000 ","$2,353,250 ",3-2-2-17,1,C Fownes,Raymond Chu Wai Hang,58,45,Declaration Of War,Hidden Kisses,Hidden Dragon
NZ ,3,Chestnut , Gelding,PPG,"$790,000 ","$790,000 ",1-1-0-4,2,F C Lor,Au Kai Kwong,58,52,Per Incanto,Princess Annaliese,Van Nistelrooy
IRE ,4,Bay , Gelding,PPG,"$825,000 ","$825,000 ",1-1-0-5,1,C S Shum,The Hon Tommy Cheung Yu Yan & Alvin Li Yuok Lun,56,52,Dandy Man,Talitha Kum,Chineur
NZ ,7,Bay , Gelding,PPG,"$365,000 ","$2,579,540 ",2-3-5-22,1,W Y So,Raymond Lee Wai Man,54,61,Darci Brahma,Wildcat Woman,Forest Wildcat
NZ ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Stanley Ho Sau Nan,52,52,Smart Missile,Plaque,Medaglia d'Oro
AUS ,4,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,C Fownes,Raymond Hui,52,52,Mossman,Malacca Cane,Big Brown
AUS ,3,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Wine and Dine Syndicate,52,52,Mossman,Chirurgo Dame,Flying Spur
NZ ,3,Bay , Gelding,PPG,"$35,000 ","$35,000 ",0-0-0-2,1,P F Yiu,Cindi Hui Ming Ming & Dr David Choy Tak Wai,51,52,Darci Brahma,High Joy,High Chaparral
AUS ,4,Bay , Gelding,PPG,"$60,000 ","$60,000 ",0-0-0-2,1,P O'Sullivan,Harilela Racing Syndicate,51,52,Deep Field,Freestyle,Snippets
AUS ,5,Bay , Gelding,PPG,"$570,000 ","$2,725,740 ",2-6-2-30,1,K W Lui,Harold Syndicate,50,54,Dream Ahead,Charlety Star,Arena
AUS ,4,Bay , Gelding,ISG,"$175,000 ","$175,000 ",0-0-1-3,2,K H Ting,Wong Kwong Miu,50,52,Zoustar,Baroness Gabriella,Kempinsky
AUS ,3,Chestnut , Gelding,PPG,"$270,000 ","$270,000 ",0-0-1-6,1,D A Hayes,Apollo Ng Shung,49,52,Star Witness,Fireglo,Choisir
GB ,7,Chestnut , Gelding,PP,"$87,500 ","$1,233,000 ",1-1-0-29,2,W Y So,Wong Kwong Miu,48,70,Lope de Vega,Inchberry,Barathea
IRE ,6,Bay , Gelding,PP,"$1,112,500 ","$2,238,890 ",3-3-1-39,2,D J Hall,Lai Yiu Keung & Lai Man Kon,47,43,Requinto,Afnoon,Street Cry
AUS ,3,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-3,1,Y S Tsui,Au Kai Kwong & Yu Chun Hong,47,52,Holy Roman Emperor,Bokissa,Bradbury's Luck
AUS ,4,Brown , Gelding,PP,$0 ,$0 ,0-0-0-11,1,T P Yung,The Easy Ride Syndicate,45,60,Love Conquers All,La Zap,Elnadim
AUS ,5,Brown , Gelding,PPG,"$783,750 ","$1,944,150 ",2-3-2-28,1,J Size,Tung Moon Fai,44,49,I Am Invincible,Ailuros,One Cool Cat
AUS ,3,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-4,1,P F Yiu,Ng Kwok Kay,44,52,Press Statement,Lyka Flyer,Testa Rossa
GB ,8,Bay , Gelding,PP,"$515,000 ","$4,011,108 ",2-7-6-50,1,C S Shum,Howard Tai Wai Yin & Yim Hin Keung,44,53,Shamardal,Cape Dollar,Cape Cross
NZ ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-6,2,D E Ferraris,Dr Anthony W K Chow & Justin Chow,42,50,Per Incanto,Capital Diamond,Lucky Unicorn
AUS ,3,Bay , Gelding,PPG,"$812,500 ","$842,250 ",1-2-0-13,2,C S Shum,Yu Mo Man,41,50,Not A Single Doubt,Siennas Fury,General Nediym
FR ,6,Bay , Gelding,PP,"$633,750 ","$1,184,940 ",1-3-2-29,1,Y S Tsui,Au Kai Kwong,40,44,Motivator,Alamagna,Anabaa
NZ ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-6,0,K H Ting,Paul Li Cheuk Wai,37,50,Highly Recommended,Firelight,Fantastic Light
AUS ,7,Bay , Gelding,PPG,"$280,000 ","$3,734,955 ",2-8-7-47,2,P O'Sullivan,Benedict Sin,36,42,Duporth,Lady Jaguar,Last Tycoon
NZ ,7,Brown , Gelding,PPG,"$112,500 ","$1,883,800 ",1-4-3-30,1,K H Ting,Happy Lucky Syndicate,36,42,Denman,Batroun,Danzero
NZ ,5,Bay , Gelding,PPG,"$80,000 ","$80,000 ",0-0-0-8,2,J Size,"Willie Yiu Man Hung, Victor Yiu Wai Yin & Vincent Yiu Wai Pong",35,47,Sweet Orange,Cadence,Rhythm
AUS ,4,Brown , Gelding,PPG,$0 ,$0 ,0-0-0-9,0,T P Yung,Dr Kelvin Chong Man Yuk,27,34,Sebring,Lady Krovanh,Dehere
AUS ,4,Chestnut , Gelding,PPG,$0 ,$0 ,0-0-0-10,0,T P Yung,James Lau Chi Wang,8,25,All Too Hard,Dubleanny,Dubleo
JPN ,6,Bay , Horse,VIS,"$12,540,000 ","$12,540,000 ",1-0-0-2,0,T Yasuda,Danox Co Ltd,,,Lord Kanaloa,Spinning Wildcat,Hard Spun
JPN ,4,Brown , Filly,VIS,$0 ,$0 ,0-0-0-0,0,H Sugiyama,Normandy Thoroughbred Racing Co Ltd,,,Epiphaneia,Daring Bird,King Kamehameha
AUS ,2,Bay , Gelding,PPG,$0 ,$0 ,0-0-0-0,0,J Size,Merrick Chung Wai Lik,,,Shalaa,The Huntress,Husson
IRE ,7,Bay , Gelding,PP,"$8,130,000 ","$81,466,900 ",11-11-4-30,0,A S Cruz,Eddie Wong Ming Chak & Wong Leung Sau Hing,127,129,Teofilo,Contrary,Mark Of Esteem
AUS ,7,Bay , Gelding,PP,"$2,106,000 ","$9,796,950 ",9-3-2-42,1,A T Millard,Eden Wong Chi Hong & Anita Chu Suk Ching,103,104,All American,Jarada,Redoute's Choice
AUS ,4,Chestnut , Gelding,PP,"$13,791,000 ","$14,110,000 ",4-1-0-8,1,J Size,Kenneth Chung Kin Shu,101,78,Exceed And Excel,Procrastination,Pivotal
AUS ,6,Bay , Gelding,PP,"$4,357,000 ","$6,030,950 ",4-0-5-17,1,C Fownes,Connie Siu Kim Ying,99,80,Star Witness,Rocket Baby,Danzero
AUS ,5,Brown , Gelding ,PP,"$484,000 ","$1,325,500 ",0-1-1-10,0,W Y So,Mr & Mrs Wong Chung Mat,92,95,Dundeel,Incredulous,Keep The Faith
AUS ,7,Bay , Gelding,PPG,"$1,144,000 ","$7,954,850 ",5-7-7-40,1,P F Yiu,Joy Plus Luck Syndicate,87,88,Smart Missile,Miss Bellezza,Flying Spur
JPN ,6,Chestnut , Gelding,PP,"$1,620,000 ","$4,185,050 ",3-3-2-30,2,K W Lui,Angela Yeung Kit Ming,80,78,Hard Spun,Toko Yuzuki,Deep Impact
AUS ,4,Bay , Gelding,PP,"$1,327,500 ","$1,327,500 ",1-1-0-7,1,K H Ting,Yichun Syndicate,78,73,Equiano,Galleta,Zabeel
NZ ,5,Bay , Gelding,PPG,"$1,590,000 ","$4,713,310 ",5-1-2-26,1,K L Man,HKEIA Horse Racing Syndicate,78,69,Ferlax,Duck For Cover,Savabeel
IRE ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,J Size,Jocelyn Siu Yang Hin Ting,77,77,Dandy Man,Elaysa,Shamardal
GB ,4,Brown , Gelding,PP,$0 ,$0 ,0-0-0-1,1,J Size,Kirk Wong King Wai,74,74,Bated Breath,Foxtrot Alpha,Desert Prince
FR ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P F Yiu,Excellent Ride Syndicate,74,74,Bated Breath,Laber Ildut,Whipper
GB ,3,Bay , Gelding,PP,$0 ,$0 ,0-0-0-0,0,P F Yiu,Ecstatic Syndicate,70,70,Charm Spirit,Bijou A Moi,Rainbow Quest
IRE ,6,Bay , Gelding,PP,$0 ,"$2,283,750 ",1-3-3-15,1,K L Man,Ada Wong Yin Man,69,72,Zoffany,Fifer,Soviet Star
IRE ,3,Brown , Gelding,PP,$0 ,$0 ,0-0-0-1,1,K L Man,Lui Chun Tai,68,68,Elzaam,Gangster Squad,Astronomer Royal
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-0,0,T P Yung,Happy Mission Syndicate,68,68,Toorak Toff,Doubtful Diva,Not A Single Doubt
GB ,5,Brown , Gelding,PP,"$345,000 ","$482,750 ",0-0-2-9,0,W Y So,Lui Chun Tai,66,69,Nathaniel,Royal Empress,Holy Roman Emperor
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-2,1,C W Chang,Clement Li,66,68,Siyouni,Pollyana,Whipper
AUS ,3,Bay , Gelding,PPG,"$1,200,000 ","$1,200,000 ",2-0-0-4,0,C S Shum,"Jaime Sze Wine Him, George Lau Ka Keung & Chen Ningning",64,52,Toronado,Al Nova,Al Samer
AUS ,5,Bay , Gelding,PPG,"$795,000 ","$2,616,455 ",3-3-1-21,2,D J Hall,Lai Yiu Keung,63,59,Magnus,Demandehere,Dehere
NZ ,4,Bay , Gelding,PPG,"$1,735,000 ","$1,735,000 ",2-2-0-8,2,F C Lor,Yeung Kin Shan & Yeung Chi Ming,63,52,El Roca,Catch Your Idol,Zabeel
NZ ,4,Bay , Gelding,PPG,"$1,402,500 ","$1,504,035 ",2-0-1-9,1,P F Yiu,New Chariot Club Syndicate,62,50,Jimmy Choux,Tantrum,Savabeel
NZ ,5,Bay , Gelding,PP,"$735,000 ","$735,000 ",0-1-1-9,2,W Y So,Exceptional Syndicate,62,65,Tavistock,Monroe Magic,Zabeel
IRE ,4,Bay , Gelding,PP,$0 ,$0 ,0-0-0-4,2,A S Cruz,Kwok Siu Ming,61,68,Kodiac,Capriole,Noverre
NZ ,6,Bay , Gelding,PPG,"$90,000 ","$1,765,600 ",2-1-0-17,0,P F Yiu,Flying Spur Syndicate,60,61,Super Easy,Emerald Isle,Perfectly Ready
AUS ,7,Bay , Gelding,PPG,"$1,147,500 ","$5,592,030 ",6-4-6-48,2,K L Man,Mr & Mrs Lee Bing Kwong and Michael Lee Chak Hol,60,64,Savabeel,Sotela,Commands
AUS ,5,Chestnut , Gelding,PP,"$295,000 ","$882,250 ",0-1-2-19,1,Y S Tsui,The All Happy Syndicate,58,60,Choisir,Smytzer's Roylani,Royal Academy
IRE ,4,Bay , Gelding,PPG,"$60,000 ","$344,750 ",0-1-1-4,1,C S Shum,Edward Chan King Sang,58,57,Elzaam,Five Fields,Chester House
AUS ,4,Chestnut , Gelding,PP,$0 ,$0 ,0-0-0-7,1,C S Shum,Ivan Yau Wai Shing,56,70,Star Witness,Exceed And Excite,Exceed And Excel
